LFQ intensity UPS1_01	LFQ intensity UPS1_02	LFQ intensity UPS1_03	LFQ intensity UPS1_04	LFQ intensity UPS2_01	LFQ intensity UPS2_02	LFQ intensity UPS2_03	LFQ intensity UPS2_04	Only identified by site	Reverse	Potential contaminant	Student's T-test Significant 1_2	Student's T-test significant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	-Log Student's T-test p-value 1_2	Student's T-test q-value 1_2	Student's T-test Difference 1_2	Student's T-test Test statistic 1_2	Protein IDs	Majority protein IDs	id
32.56060791	32.87670135	32.9434433	32.58421326	0	25.52728081	0	0						10	10	10	80.5	80.5	80.5	20.475	0	280.06	42528000000	126	2.211288172	0.284842883	26.35942125	4.129900049	O00762ups|UBE2C_HUMAN_UPS	O00762ups|UBE2C_HUMAN_UPS	23
33.95956039	33.73216629	33.74975204	33.51782227	29.16676903	29.19291115	26.46491432	27.31345749				+	1_2	13	13	12	83.7	83.7	72.8	15.494	0	323.31	87582000000	229	3.77297925	0.009377683	5.705312252	8.274380271	O76070ups|SYUG_HUMAN_UPS	O76070ups|SYUG_HUMAN_UPS	24
33.55989838	33.26696014	33.07500076	32.75471878	32.34519577	32.05125427	32.30358887	32.38352585						6	6	6	47.1	47.1	47.1	16.153	0	204.49	85671000000	121	2.536437564	0.145091064	0.893253326	4.830834955	P00167ups|CYB5_HUMAN_UPS	P00167ups|CYB5_HUMAN_UPS	25
32.67128754	32.82056046	32.64390182	32.96849823	0	0	0	0				+	1_2	7	7	7	69.9	69.9	69.9	15.804	0	323.31	40367000000	57	14.01455821	5.12E-12	32.77606201	437.1572629	P00441ups|SODC_HUMAN_UPS	P00441ups|SODC_HUMAN_UPS	26
32.28925705	32.14303207	32.15415192	31.97329521	27.85857582	27.92948151	28.06835556	27.9755249				+	1_2	5	5	5	39	39	39	14.078	0	51.768	28095000000	59	8.540724393	4.31E-07	4.181949615	53.44897471	P00709ups|LALBA_HUMAN_UPS	P00709ups|LALBA_HUMAN_UPS	27
33.90158463	33.85628891	33.61785126	33.801548	35.46109009	35.48384857	35.6352005	35.59970474				+	1_2	16	16	16	90.4	90.4	90.4	28.739	0	323.31	4.5096E+11	720	6.373996973	3.92E-05	-1.750642776	-23.17962875	P00915ups|CAH1_HUMAN_UPS	P00915ups|CAH1_HUMAN_UPS	28
33.24147034	33.49142456	33.10548019	33.4370079	35.01733017	34.92684937	35.13560486	35.22111893				+	1_2	20	20	20	86.5	86.5	86.5	29.114	0	323.31	2.9101E+11	489	5.413456105	0.000278178	-1.756380081	-15.94758311	P00918ups|CAH2_HUMAN_UPS	P00918ups|CAH2_HUMAN_UPS	29
33.66458511	33.81249237	33.55361938	33.76327133	24.95224762	25.33169746	24.99778748	25.17035484				+	1_2	32	32	25	69.4	69.4	60.2	49.039	0	323.31	87321000000	388	9.674376875	3.74E-08	8.5854702	82.62532691	P01008ups|ANT3_HUMAN_UPS	P01008ups|ANT3_HUMAN_UPS	30
30.73174095	30.51483917	30.59619331	31.01045227	32.71405411	32.88143158	32.59739304	32.6747818				+	1_2	3	3	3	51.4	51.4	51.4	8.2736	0	217.52	53146000000	80	5.444444296	0.000268983	-2.003608704	-16.14227193	P01031ups|CO5_HUMAN_UPS	P01031ups|CO5_HUMAN_UPS	31
31.54070091	31.85385513	31.92705345	32.39929962	0	0	0	0				+	1_2	11	11	11	74.6	74.6	74.6	21.298	0	220.85	24836000000	80	11.70255877	4.15E-10	31.93022728	180.0011345	P01112ups|RASH_HUMAN_UPS	P01112ups|RASH_HUMAN_UPS	32
33.08580017	32.54240799	33.06809616	32.19668579	25.63344955	25.30702591	24.51382256	22.81466103				+	1_2	9	9	9	77.1	77.1	77.1	12.294	0	170.94	38793000000	75	4.744374058	0.001095516	8.156007767	12.25070578	P01127ups|PDGFB_HUMAN_UPS	P01127ups|PDGFB_HUMAN_UPS	33
29.01685524	29.93213272	29.92860603	30.66254807	29.0650444	29.39693069	29.56705093	29.53322792						2	2	2	75.9	75.9	75.9	6.3532	0	89.07	11646000000	47	0.669427626	0.795218036	0.494472027	1.389399715	P01133ups|EGF_HUMAN_UPS	P01133ups|EGF_HUMAN_UPS	34
31.42262077	32.02634048	31.99135208	32.29824448	25.61009216	0	25.09587288	0						4	4	4	88.1	88.1	88.1	7.4754	0	140.37	24787000000	79	1.408407969	0.795218036	19.25814819	2.63023374	P01344ups|IGF2_HUMAN_UPS	P01344ups|IGF2_HUMAN_UPS	35
33.27044296	33.12803268	32.99060822	33.12181091	0	24.67378998	24.39322853	0						12	12	12	74.5	74.5	74.5	17.352	0	284.69	52547000000	133	1.588919856	0.795218036	20.86096907	2.945351201	P01375ups|TNFA_HUMAN_UPS	P01375ups|TNFA_HUMAN_UPS	36
31.92014694	31.78023148	31.87356949	31.46168137	0	0	0	0				+	1_2	9	9	9	69.2	69.2	69.2	16.776	0	323.31	22877000000	117	13.09844972	2.59E-11	31.75890732	307.572048	P01579ups|IFNG_HUMAN_UPS	P01579ups|IFNG_HUMAN_UPS	37
33.35848999	32.57519913	32.61434555	32.39117813	31.31521797	31.4815464	31.93244934	31.25574875						13	13	13	66	66	66	17.052	0	323.31	68419000000	216	2.484672011	0.159371563	1.238562584	4.714710347	P02144ups|MYG_HUMAN_UPS	P02144ups|MYG_HUMAN_UPS	38
30.02722931	30.41930771	30.35877609	30.85949516	0	0	0	0				+	1_2	5	5	5	22.6	22.6	22.6	23.251	0	42.231	7710100000	32	11.67073446	4.15E-10	30.41620207	177.8157888	P02741ups|CRP_HUMAN_UPS	P02741ups|CRP_HUMAN_UPS	39
32.40077972	32.14964676	32.1734314	32.03721619	28.30994987	28.31988716	28.42454338	27.72513962				+	1_2	11	11	11	81.6	81.6	81.6	20.575	0	246.32	29287000000	75	6.319372208	4.24E-05	3.995388508	22.69402785	P02753ups|RETBP_HUMAN_UPS	P02753ups|RETBP_HUMAN_UPS	40
35.66296768	34.30654144	34.77965164	34.66421127	25.97805977	0	24.11854362	24.09047127						50	50	48	73.2	73.2	72.2	75.181	0	323.31	1.8605E+11	386	1.407167438	0.795218036	16.30657434	2.62810011	P02787ups|TRFE_HUMAN_UPS	P02787ups|TRFE_HUMAN_UPS	41
34.04523087	35.53060913	35.40717697	34.86963272	23.10166931	22.53110123	19.58231544	21.94174004				+	1_2	50	50	47	76.1	76.1	71.9	76.164	0	323.31	2.0805E+11	491	5.360315422	0.000303158	13.17395592	15.61895061	P02788ups|TRFL_HUMAN_UPS	P02788ups|TRFL_HUMAN_UPS	42
34.73519516	34.60277939	34.66527176	34.44332123	33.73277283	33.68447113	33.7665329	33.69799423				+	1_2	35	35	35	65.8	65.8	65.8	59.624	0	323.31	2.4366E+11	566	5.030743503	0.000604335	0.891199112	13.72074687	P04040ups|CATA_HUMAN_UPS	P04040ups|CATA_HUMAN_UPS	43
33.17142105	33.22057724	33.09236908	33.29597855	0	0	0	0				+	1_2	11	11	11	76.5	76.5	76.5	14.727	0	192.29	66369000000	147	15.51098993	6.00E-13	33.19508648	776.3312328	P05413ups|FABPH_HUMAN_UPS	P05413ups|FABPH_HUMAN_UPS	44
33.82988739	33.87123871	33.81488037	33.85378265	29.86699867	29.45293427	29.82896042	29.78718376				+	1_2	27	27	27	77.2	77.2	77.2	43.101	0	323.31	1.0752E+11	332	7.965018404	1.32E-06	4.108428001	42.83182753	P06732ups|KCRM_HUMAN_UPS	P06732ups|KCRM_HUMAN_UPS	46
33.23106384	32.93475342	33.11579132	32.77495956	25.12159157	25.06509018	0	0						11	11	11	54.3	54.3	54.3	25.5	0	79.105	46730000000	63	1.520769265	0.795218036	20.4674716	2.825231855	P08263ups|GSTA1_HUMAN_UPS	P08263ups|GSTA1_HUMAN_UPS	47
33.88694763	33.81440353	32.39230728	33.95037842	20.57450104	22.45347404	22.34862518	0						24	24	24	78.1	78.1	78.1	35.805	0	323.31	78045000000	283	1.694112554	0.795218036	17.16685915	3.133865878	P08758ups|ANXA5_HUMAN_UPS	P08758ups|ANXA5_HUMAN_UPS	48
31.17706108	31.6215229	31.34799576	31.74627113	0	0	0	0				+	1_2	14	14	14	69.9	69.9	69.9	23.224	0	323.31	17465000000	64	12.49329011	8.93E-11	31.47321272	243.8258827	P09211ups|GSTP1_HUMAN_UPS	P09211ups|GSTP1_HUMAN_UPS	49
31.78814888	31.74330521	31.59036064	31.58870888	0	0	0	0				+	1_2	2	2	2	31.9	31.9	31.9	8.3857	0	31.729	19642000000	23	14.89526737	1.24E-12	31.6776309	612.9506208	P10145ups|IL8_HUMAN_UPS	P10145ups|IL8_HUMAN_UPS	50
32.15091705	31.98739243	32.70344925	32.08948517	23.66849899	23.95349312	23.63112068	23.84115028				+	1_2	8	8	8	60.9	60.9	60.9	12.429	0	53.221	31593000000	72	8.245340676	7.37E-07	8.459245205	47.70975764	P10599ups|THIO_HUMAN_UPS	P10599ups|THIO_HUMAN_UPS	51
34.83333206	34.61236954	34.75915909	34.42166901	0	0	0	0				+	1_2	24	24	24	68.2	68.2	68.2	45.718	0	323.31	1.5439E+11	266	13.66139656	8.49E-12	34.65663242	381.746942	P10636-8ups|TAU_HUMAN_UPS	P10636-8ups|TAU_HUMAN_UPS	52
34.02010727	34.09616089	34.06975937	34.1067276	29.81176376	29.83878899	30.13687325	29.9304409				+	1_2	32	32	32	66.2	66.2	66.2	58.233	0	323.31	1.1219E+11	358	8.587497218	4.19E-07	4.143722057	54.41879464	P12081ups|SYHC_HUMAN_UPS	P12081ups|SYHC_HUMAN_UPS	53
33.33311462	32.95855713	33.1240921	33.01215363	31.85615921	32.09820175	31.92263031	31.96664238				+	1_2	16	16	16	54.2	54.2	54.2	30.736	0	250.25	77602000000	187	4.643773704	0.001299841	1.146070957	11.7702662	P15559ups|NQO1_HUMAN_UPS	P15559ups|NQO1_HUMAN_UPS	54
33.06499863	33.59757233	33.22187424	33.68321609	29.65340233	29.1627903	29.41130829	29.41072273				+	1_2	19	19	19	93.5	93.5	93.5	25.821	0	323.31	72752000000	236	6.272168292	4.33E-05	3.982359409	22.28243648	P16083ups|NQO2_HUMAN_UPS	P16083ups|NQO2_HUMAN_UPS	55
31.79656792	31.83175659	31.81825638	31.88474655	33.57564926	33.59445953	33.80183792	33.69923401				+	1_2	9	9	9	85.7	85.7	85.7	16.157	0	323.31	1.2074E+11	703	7.289942181	5.55E-06	-1.834963322	-33.02416133	P41159ups|LEP_HUMAN_UPS	P41159ups|LEP_HUMAN_UPS	56
