Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mutated peptide count	Mutation names	Mutated peptide count B1	Mutation names B1	Mutated peptide count B2	Mutation names B2	Mutated peptide count B3	Mutation names B3	Mutated peptide count H1	Mutation names H1	Mutated peptide count H2	Mutation names H2	Mutated peptide count H3	Mutation names H3	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides B1	Peptides B2	Peptides B3	Peptides H1	Peptides H2	Peptides H3	Razor + unique peptides B1	Razor + unique peptides B2	Razor + unique peptides B3	Razor + unique peptides H1	Razor + unique peptides H2	Razor + unique peptides H3	Unique peptides B1	Unique peptides B2	Unique peptides B3	Unique peptides H1	Unique peptides H2	Unique peptides H3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Sequence coverage B1 [%]	Sequence coverage B2 [%]	Sequence coverage B3 [%]	Sequence coverage H1 [%]	Sequence coverage H2 [%]	Sequence coverage H3 [%]	Intensity	Intensity B1	Intensity B2	Intensity B3	Intensity H1	Intensity H2	Intensity H3	LFQ intensity B1	LFQ intensity B2	LFQ intensity B3	LFQ intensity H1	LFQ intensity H2	LFQ intensity H3	MS/MS count B1	MS/MS count B2	MS/MS count B3	MS/MS count H1	MS/MS count H2	MS/MS count H3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__A3EZ82;sp|Q6E0U4|DMKN_HUMAN;CON__A3EZ79	CON__A3EZ82;sp|Q6E0U4|DMKN_HUMAN;CON__A3EZ79	2;2;1	2;2;1	2;2;1	0		0		0		0		0		0		0		;sp|Q6E0U4|DMKN_HUMAN Dermokine OS=Homo sapiens OX=9606 GN=DMKN PE=1 SV=3;	3	2	2	2	0	0	0	1	2	1	0	0	0	1	2	1	0	0	0	1	2	1	5.3	5.3	5.3	47.082	476	476;476;449	0	11.719	0	0	0	1.7	5.3	1.7	198530	0	0	0	139010	0	59519	0	0	0	0	0	9501.3	0	0	0	1	2	2	5			+	0	329;1654	True;True	335;1682	524;525;526;527;2530	543;544;545;546;2621	545;2621		
CON__P00761	CON__P00761	3	3	3	0		0		0		0		0		0		0			1	3	3	3	1	2	3	3	2	2	1	2	3	3	2	2	1	2	3	3	2	2	20.8	20.8	20.8	24.409	231	231	0	269.95	8.7	12.1	20.8	20.8	17.3	17.3	746930000	17182000	6703700	27145000	71676000	531360000	92866000	0	3778500	8825800	9060500	53555000	4136200	4	0	3	4	11	3	25			+	1	698;899;1607	True;True;True	710;711;918;1635	1066;1067;1068;1069;1070;1071;1072;1073;1074;1075;1407;1408;1409;1410;1411;1412;1413;1414;2466;2467;2468	1101;1102;1103;1104;1105;1106;1107;1108;1109;1110;1111;1112;1113;1114;1115;1116;1117;1465;1466;1467;1468;1469;1470;1471;1472;1473;1474;2555;2556;2557;2558	1103;1468;2558	0	94
sp|P48668|K2C6C_HUMAN;sp|P02538|K2C6A_HUMAN;CON__P48668;CON__P04259;CON__P02538	sp|P48668|K2C6C_HUMAN;sp|P02538|K2C6A_HUMAN;CON__P48668;CON__P04259;CON__P02538	5;5;5;5;5	1;1;1;1;1	0;0;0;0;0	0		0		0		0		0		0		0		sp|P48668|K2C6C_HUMAN Keratin, type II cytoskeletal 6C OS=Homo sapiens OX=9606 GN=KRT6C PE=1 SV=3;sp|P02538|K2C6A_HUMAN Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3;;;	5	5	1	0	0	0	0	4	2	2	0	0	0	0	0	1	0	0	0	0	0	0	6.4	1.6	0	60.024	564	564;564;564;564;564	0	6.0362	0	0	0	4.8	3	3.2	161960	0	0	0	0	0	161960	0	0	0	0	0	25854	0	0	0	0	0	1	1			+	2	143;433;1151;1152;1256	False;False;False;False;True	146;440;1173;1174;1278	244;245;670;671;1783;1784;1785;1937	251;252;692;693;1851;1852;1853;2007	251;693;1851;1853;2007		
CON__P02769;sp|P02768|ALBU_HUMAN;CON__P02768-1	CON__P02769	11;2;2	11;2;2	11;2;2	0		0		0		0		0		0		0			3	11	11	11	2	1	1	10	7	6	2	1	1	10	7	6	2	1	1	10	7	6	20.9	20.9	20.9	69.293	607	607;609;609	0	323.31	4.6	2.1	1.5	19.3	11.5	12	19695000	246170	0	36395	14260000	3251700	1900700	0	0	0	2005100	423760	527670	2	1	1	8	8	6	26			+	3	186;330;816;819;901;1063;1109;1292;1342;1391;1410	True;True;True;True;True;True;True;True;True;True;True	189;336;830;833;920;1083;1131;1315;1366;1416;1435	309;310;311;312;528;1261;1262;1263;1266;1267;1268;1269;1417;1418;1419;1420;1666;1724;1725;1726;1991;1992;2058;2129;2160;2161;2162	321;322;323;324;325;547;1310;1311;1312;1315;1316;1317;1318;1477;1478;1479;1480;1731;1790;1791;1792;2062;2063;2133;2208;2240;2241;2242	324;547;1311;1316;1479;1731;1791;2063;2133;2208;2240	1	469
CON__P05787;sp|P05787|K2C8_HUMAN;CON__H-INV:HIT000292931;CON__Q9H552;CON__H-INV:HIT000016045;CON__REFSEQ:XP_092267;CON__Q6IFZ6;CON__Q5XQN5;CON__Q8VED5;sp|Q5XKE5|K2C79_HUMAN;CON__Q8BGZ7;CON__P50446;CON__Q9DCV7;sp|Q9NSB2|KRT84_HUMAN;CON__Q9NSB2;CON__Q6ISB0;CON__Q5XKE5	CON__P05787;sp|P05787|K2C8_HUMAN	20;20;7;6;4;2;2;2;2;1;1;1;1;1;1;1;1	20;20;7;6;4;2;2;2;2;1;1;1;1;1;1;1;1	16;16;5;4;2;2;0;0;0;0;0;0;0;0;0;0;0	0		0		0		0		0		0		0		;sp|P05787|K2C8_HUMAN Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7	17	20	20	16	4	1	5	12	13	10	4	1	5	12	13	10	4	1	4	8	11	9	35.2	35.2	31.7	53.704	483	483;483;443;499;99;213;572;601;531;535;551;553;457;600;600;600;535	0	323.31	10.4	2.7	9.5	20.3	28.6	23.8	52822000	1049000	428400	6470700	10997000	26253000	7622600	1686600	0	4701000	1646100	1232100	1432400	5	1	4	12	14	9	45			+	4	140;141;433;758;868;869;887;942;985;986;1004;1151;1152;1261;1270;1355;1426;1444;1500;1502	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	143;144;440;772;883;884;885;904;905;906;961;1005;1006;1024;1173;1174;1283;1292;1379;1380;1452;1470;1527;1529	235;236;237;238;239;240;241;670;671;1177;1178;1179;1180;1351;1352;1353;1354;1382;1383;1384;1385;1386;1387;1388;1389;1390;1478;1479;1480;1542;1543;1570;1571;1783;1784;1785;1947;1948;1961;2077;2078;2187;2212;2213;2214;2302;2303;2304;2305;2307	241;242;243;244;245;246;247;248;692;693;1222;1223;1224;1225;1226;1405;1406;1407;1408;1438;1439;1440;1441;1442;1443;1444;1445;1446;1447;1539;1540;1541;1606;1607;1635;1636;1851;1852;1853;2017;2018;2031;2153;2154;2267;2292;2293;2294;2383;2384;2385;2386;2388	243;248;693;1224;1406;1408;1440;1540;1606;1607;1636;1851;1853;2017;2031;2153;2267;2293;2385;2388	2;3;4;5	168;189;406;409
sp|P13645|K1C10_HUMAN;CON__P13645;CON__P02535-1;sp|Q2M2I5|K1C24_HUMAN;CON__Q2M2I5	sp|P13645|K1C10_HUMAN;CON__P13645	6;6;2;1;1	6;6;2;1;1	5;5;1;0;0	0		0		0		0		0		0		0		sp|P13645|K1C10_HUMAN Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6;	5	6	6	5	0	0	0	3	4	4	0	0	0	3	4	4	0	0	0	3	3	3	11.1	11.1	9.2	58.826	584	584;593;570;525;525	0	55.336	0	0	0	6.3	8.4	7.5	5894400	0	0	0	2583300	1387100	1924100	0	0	0	0	177390	231540	0	0	0	3	4	5	12			+	5	1287;1290;1455;1473;1690;1797	True;True;True;True;True;True	1310;1313;1481;1499;1719;1829	1983;1984;1988;1989;2233;2234;2235;2259;2586;2587;2765;2766	2053;2054;2058;2059;2060;2313;2314;2315;2339;2681;2682;2866;2867	2054;2060;2315;2339;2681;2867		
CON__P13647;sp|P13647|K2C5_HUMAN;CON__Q922U2	CON__P13647;sp|P13647|K2C5_HUMAN;CON__Q922U2	4;4;3	1;1;1	1;1;1	0		0		0		0		0		0		0		;sp|P13647|K2C5_HUMAN Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3;	3	4	1	1	0	0	0	3	1	3	0	0	0	1	1	1	0	0	0	1	1	1	4.7	1.5	1.5	62.378	590	590;590;580	0	6.3307	0	0	0	3.2	1.5	4.6	1157400	0	0	0	493970	317010	346370	0	0	0	0	0	55293	0	0	0	1	1	1	3			+	6	1151;1152;1256;1446	False;False;False;True	1173;1174;1278;1472	1783;1784;1785;1937;2218;2219;2220	1851;1852;1853;2007;2298;2299;2300	1851;1853;2007;2298		
CON__P21752;sp|P63313|TYB10_HUMAN	CON__P21752;sp|P63313|TYB10_HUMAN	2;2	1;1	1;1	0		0		0		0		0		0		0		;sp|P63313|TYB10_HUMAN Thymosin beta-10 OS=Homo sapiens OX=9606 GN=TMSB10 PE=1 SV=2	2	2	1	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	31	31	31	4.8054	42	42;44	0	15.518	0	0	0	31	0	0	166840	0	0	0	166840	0	0	0	0	0	27740	0	0	0	0	0	2	0	0	2			+	7	420;1186	False;True	427;1208	651;1837	673;1906;1907	673;1907		
CON__P34955	CON__P34955	1	1	1	0		0		0		0		0		0		0			1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2.6	2.6	2.6	46.103	416	416	0.0017241	5.9309	0	0	0	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1			+	8	233	True	237	383	399	399		
sp|P35527|K1C9_HUMAN;CON__P35527	sp|P35527|K1C9_HUMAN;CON__P35527	1;1	1;1	1;1	0		0		0		0		0		0		0		sp|P35527|K1C9_HUMAN Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3;	2	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	2.6	2.6	2.6	62.064	623	623;623	0	6.6572	0	0	0	0	0	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1			+	9	1387	True	1412	2125	2204	2204		
