Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides TMT_BP123	Peptides TMT_BP456	Razor + unique peptides TMT_BP123	Razor + unique peptides TMT_BP456	Unique peptides TMT_BP123	Unique peptides TMT_BP456	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Fraction 2	Q-value	Score	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity corrected 1 TMT_BP123	Reporter intensity corrected 2 TMT_BP123	Reporter intensity corrected 3 TMT_BP123	Reporter intensity corrected 4 TMT_BP123	Reporter intensity corrected 5 TMT_BP123	Reporter intensity corrected 6 TMT_BP123	Reporter intensity corrected 1 TMT_BP456	Reporter intensity corrected 2 TMT_BP456	Reporter intensity corrected 3 TMT_BP456	Reporter intensity corrected 4 TMT_BP456	Reporter intensity corrected 5 TMT_BP456	Reporter intensity corrected 6 TMT_BP456	Reporter intensity 1 TMT_BP123	Reporter intensity 2 TMT_BP123	Reporter intensity 3 TMT_BP123	Reporter intensity 4 TMT_BP123	Reporter intensity 5 TMT_BP123	Reporter intensity 6 TMT_BP123	Reporter intensity 1 TMT_BP456	Reporter intensity 2 TMT_BP456	Reporter intensity 3 TMT_BP456	Reporter intensity 4 TMT_BP456	Reporter intensity 5 TMT_BP456	Reporter intensity 6 TMT_BP456	Reporter intensity count 1 TMT_BP123	Reporter intensity count 2 TMT_BP123	Reporter intensity count 3 TMT_BP123	Reporter intensity count 4 TMT_BP123	Reporter intensity count 5 TMT_BP123	Reporter intensity count 6 TMT_BP123	Reporter intensity count 1 TMT_BP456	Reporter intensity count 2 TMT_BP456	Reporter intensity count 3 TMT_BP456	Reporter intensity count 4 TMT_BP456	Reporter intensity count 5 TMT_BP456	Reporter intensity count 6 TMT_BP456	Sequence coverage TMT_BP123 [%]	Sequence coverage TMT_BP456 [%]	Intensity	Intensity TMT_BP123	Intensity TMT_BP456	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P0DPI2;A0A0B4J2D5	P0DPI2;A0A0B4J2D5	7;7	7;7	7;7			sp|P0DPI2|GAL3A_HUMAN Glutamine amidotransferase-like class 1 domain-containing protein 3A, mitochondrial OS=Homo sapiens OX=9606 GN=GATD3A PE=1 SV=1;sp|A0A0B4J2D5|GAL3B_HUMAN Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondr	2	7	7	7	6	7	6	7	6	7	42.5	42.5	42.5	28.17	268	268;268	1.5	12	12	0	52.096	432140	526120	636090	488220	637870	521600	409730	521860	655010	495470	636940	507850	24	24	24	24	24	24	203750	290140	247550	279530	289420	228190	228390	235980	388530	208690	348450	293400	193380	284350	264420	276050	291270	222480	216350	237500	390590	219420	345670	285370	12	12	12	12	12	12	12	12	12	12	12	12	38.8	42.5	723360000	298830000	424530000	24				0	7562;9374;10193;10533;12820;19272;27539	True;True;True;True;True;True;True	7561;9378;10199;10540;12838;19297;27575	21273;26579;26580;26581;26582;26583;26584;26585;28916;28917;29847;29848;29849;29850;36993;36994;36995;36996;55190;55191;78299;78300;78301;78302	21874;27373;27374;27375;27376;27377;27378;27379;29768;29769;30722;30723;30724;30725;38188;38189;38190;38191;56944;56945;80711;80712;80713;80714	21874;27378;29768;30724;38191;56945;80711		
P0DPI3;A0A0U1RR11;A0A0U1RRI6	P0DPI3;A0A0U1RR11;A0A0U1RRI6	1;1;1	1;1;1	1;1;1			sp|P0DPI3|CENL2_HUMAN Centromere protein V-like protein 2 OS=Homo sapiens OX=9606 GN=CENPVL2 PE=3 SV=1;sp|A0A0U1RR11|CENL1_HUMAN Centromere protein V-like protein 1 OS=Homo sapiens OX=9606 GN=CENPVL1 PE=2 SV=1;sp|A0A0U1RRI6|CENL3_HUMAN Centromere protein V	3	1	1	1	1	1	1	1	1	1	2.9	2.9	2.9	29.887	272	272;272;287	1.33	2	1	0.0033898	1.9443	16363	17000	20842	18875	23032	19067	15501	17004	21574	18927	23061	18556	3	3	3	3	3	3	8960.1	10512	10598	11012	12002	8916.2	7402.4	6488.2	10243	7862.8	11030	10151	8493.7	10415	11153	10930	12035	8713.2	7007	6588.6	10421	7997.2	11026	9843.1	1	1	1	1	1	1	2	2	2	2	2	2	2.9	2.9	92185000	44020000	48165000	3				1	10888	True	10898	31039;31040;31041	31991;31992;31993	31992		
A0AV96	A0AV96	1	1	1	RNA-binding protein 47	RBM47	sp|A0AV96|RBM47_HUMAN RNA-binding protein 47 OS=Homo sapiens OX=9606 GN=RBM47 PE=1 SV=2	1	1	1	1	0	1	0	1	0	1	2.7	2.7	2.7	64.098	593	593	2		1	0.0087043	1.3226	5686.8	4651	5479.1	5160.4	6498.1	5193	5381.5	4718.6	5694	5170	6492.9	5060.4	1	1	1	1	1	1	0	0	0	0	0	0	5686.8	4651	5479.1	5160.4	6498.1	5193	0	0	0	0	0	0	5381.5	4718.6	5694	5170	6492.9	5060.4	0	0	0	0	0	0	1	1	1	1	1	1	0	2.7	4253000	0	4253000	1				2	4818	True	4810	13604	14023	14023		
A0AVT1	A0AVT1	15	15	15	Ubiquitin-like modifier-activating enzyme 6	UBA6	sp|A0AVT1|UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1	1	15	15	15	13	14	13	14	13	14	19.2	19.2	19.2	117.97	1052	1052	1.35	20	11	0	49.341	403840	436590	482170	456560	552550	475680	382640	435010	502890	456710	554010	462290	30	30	30	30	30	30	187370	213840	183200	228300	240310	195540	216470	222750	298980	228270	312240	280140	177590	211720	196620	224630	241870	190420	205060	223290	306260	232080	312130	271870	14	14	14	14	14	14	16	16	16	16	16	16	16	17.9	476160000	209920000	266240000	31				3	1629;6048;8151;8738;13808;13857;14899;14927;18033;18141;19336;19636;25182;27511;28641	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1620;6044;8151;8740;13827;13877;14920;14948;18055;18163;19361;19661;25209;27547;28680	4595;4596;17126;22969;22970;24678;39799;39800;39801;39940;39941;39942;39943;42826;42827;42900;42901;51581;51582;51902;51903;55345;55346;55347;56163;56164;71373;71374;78215;78216;81539	4736;4737;17662;23644;23645;25435;41123;41124;41125;41278;41279;41280;41281;44256;44257;44330;44331;53244;53245;53577;53578;57101;57102;57103;57925;57926;73470;73471;80627;80628;84035	4737;17662;23645;25435;41124;41279;44256;44330;53245;53577;57101;57926;73470;80628;84035		
A0FGR8	A0FGR8	1	1	1	Extended synaptotagmin-2	ESYT2	sp|A0FGR8|ESYT2_HUMAN Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1	1	1	1	1	0	1	0	1	0	1	1.6	1.6	1.6	102.36	921	921	1	1		0	3.5943	2306.8	2495	3262.6	2426	3707.7	3480.3	2185.7	2493.1	3345.1	2481.7	3699	3372.6	1	1	1	1	1	1	0	0	0	0	0	0	2306.8	2495	3262.6	2426	3707.7	3480.3	0	0	0	0	0	0	2185.7	2493.1	3345.1	2481.7	3699	3372.6	0	0	0	0	0	0	1	1	1	1	1	1	0	1.6	3297100	0	3297100	1				4	12896	True	12914	37243	38442	38442		
A0MZ66	A0MZ66	12	12	12	Shootin-1	KIAA1598	sp|A0MZ66|SHOT1_HUMAN Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4	1	12	12	12	10	8	10	8	10	8	23.5	23.5	23.5	71.639	631	631	1.86	3	18	0	49.715	426870	483530	478400	467630	587520	472150	404570	479830	503060	467730	587180	460000	21	21	21	21	21	21	215590	290270	237900	283900	329680	250100	211280	193260	240500	183730	257840	222050	204540	285010	255730	280720	329950	244210	200030	194810	247330	187000	257230	215800	12	12	12	12	12	12	9	9	9	9	9	9	18.5	18.7	326830000	166860000	159960000	21				5	6317;16844;16942;19462;20439;22482;24425;25225;26386;27242;27282;28672	True;True;True;True;True;True;True;True;True;True;True;True	6313;16874;16972;19487;20465;22508;24450;25252;26418;27276;27316;28712	17919;17920;48341;48342;48622;55701;58276;63812;63813;63814;69273;69274;71518;71519;71520;71521;75013;77342;77343;77468;81634	18469;18470;49926;49927;50209;57462;60063;65734;65735;65736;71343;71344;73619;73620;73621;73622;77239;79610;79611;79736;84135	18470;49926;50209;57462;60063;65736;71343;73620;77239;79610;79736;84135		
A1L0T0	A1L0T0	3	3	3	Acetolactate synthase-like protein	ILVBL	sp|A1L0T0|ILVBL_HUMAN Acetolactate synthase-like protein OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2	1	3	3	3	3	1	3	1	3	1	8.5	8.5	8.5	67.867	632	632	1	4		0	19.968	14143	18505	20582	16516	23482	20441	13416	18269	21335	16773	23424	19858	4	4	4	4	4	4	10919	15748	14766	14175	17134	15600	3224.6	2756.9	5816	2341.6	6348	4840.8	10364	15444	15566	14173	17207	15132	3052	2824.8	5768.8	2599.2	6216.8	4725.7	3	3	3	3	3	3	1	1	1	1	1	1	8.5	3.6	26387000	17282000	9104900	4				6	7010;18106;26535	True;True;True	7007;18128;26568	19742;51802;51803;75436	20328;53474;53475;77669	20328;53475;77669		
A2RRP1	A2RRP1	3	3	3	Neuroblastoma-amplified sequence	NBAS	sp|A2RRP1|NBAS_HUMAN Neuroblastoma-amplified sequence OS=Homo sapiens OX=9606 GN=NBAS PE=1 SV=2	1	3	3	3	2	3	2	3	2	3	1.3	1.3	1.3	268.57	2371	2371	1.6	2	3	0	7.1533	31822	34380	35272	29374	38173	35186	30152	34219	36772	29668	38255	34118	5	5	5	5	5	5	9020.5	8386.8	7155.7	8469.7	7859.4	7273.5	22802	25993	28116	20904	30313	27913	8540.8	8399.3	7656.9	8321.7	7983.6	7051.7	21611	25820	29115	21347	30271	27066	2	2	2	2	2	2	3	3	3	3	3	3	1	1.3	30613000	9903400	20709000	5				7	10218;19184;25450	True;True;True	10224;19209;25478	28979;28980;54964;54965;72195	29841;29842;56716;56717;74323	29841;56716;74323		
A2RTX5	A2RTX5	4	1	1	Probable threonine--tRNA ligase 2, cytoplasmic	TARSL2	sp|A2RTX5|SYTC2_HUMAN Threonine--tRNA ligase 2, cytoplasmic OS=Homo sapiens OX=9606 GN=TARSL2 PE=1 SV=1	1	4	1	1	2	4	0	1	0	1	5.6	1.6	1.6	92.644	802	802	1	1		0.00056101	2.9146	1544.8	2369.2	3925.9	1909.2	6341.2	3654.6	1467	2341.9	3950.7	2114	6152.4	3612.7	1	1	1	1	1	1	0	0	0	0	0	0	1544.8	2369.2	3925.9	1909.2	6341.2	3654.6	0	0	0	0	0	0	1467	2341.9	3950.7	2114	6152.4	3612.7	0	0	0	0	0	0	1	1	1	1	1	1	2	5.6	1201400	0	1201400	1				8	1269;8847;18104;27849	False;True;False;False	1258;8849;18126;27885	3561;3562;24974;51799;79181;79182;79183;79184	3664;3665;25733;53471;81609;81610;81611;81612	3664;25733;53471;81610		
A2VDF0	A2VDF0	1	1	1	Fucose mutarotase	FUOM	sp|A2VDF0|FUCM_HUMAN Fucose mutarotase OS=Homo sapiens OX=9606 GN=FUOM PE=1 SV=2	1	1	1	1	1	1	1	1	1	1	10.4	10.4	10.4	16.765	154	154	1	2		0	4.9553	2723.6	3596.1	3499.3	3403.8	5221	2958.4	2583.7	3541.8	3687.2	3432.1	5144.4	2927.1	2	2	2	2	2	2	1916.5	2221.9	1300.1	2243.3	2486	1680.4	807.1	1374.2	2199.2	1160.5	2735.1	1278	1816.6	2189.7	1471.1	2187.6	2485.7	1648.7	767.07	1352.1	2216.1	1244.5	2658.6	1278.4	1	1	1	1	1	1	1	1	1	1	1	1	10.4	10.4	6439400	3453100	2986300	2				9	10586	True	10595	30009;30010	30924;30925	30924		
