Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Mutated peptide count	Mutation names	Mutated peptide count B1	Mutation names B1	Mutated peptide count B2	Mutation names B2	Mutated peptide count B3	Mutation names B3	Mutated peptide count H1	Mutation names H1	Mutated peptide count H2	Mutation names H2	Mutated peptide count H3	Mutation names H3	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides B1	Peptides B2	Peptides B3	Peptides H1	Peptides H2	Peptides H3	Razor + unique peptides B1	Razor + unique peptides B2	Razor + unique peptides B3	Razor + unique peptides H1	Razor + unique peptides H2	Razor + unique peptides H3	Unique peptides B1	Unique peptides B2	Unique peptides B3	Unique peptides H1	Unique peptides H2	Unique peptides H3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type B1	Identification type B2	Identification type B3	Identification type H1	Identification type H2	Identification type H3	Sequence coverage B1 [%]	Sequence coverage B2 [%]	Sequence coverage B3 [%]	Sequence coverage H1 [%]	Sequence coverage H2 [%]	Sequence coverage H3 [%]	Intensity	Intensity B1	Intensity B2	Intensity B3	Intensity H1	Intensity H2	Intensity H3	LFQ intensity B1	LFQ intensity B2	LFQ intensity B3	LFQ intensity H1	LFQ intensity H2	LFQ intensity H3	MS/MS count B1	MS/MS count B2	MS/MS count B3	MS/MS count H1	MS/MS count H2	MS/MS count H3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__A3EZ82;sp|Q6E0U4|DMKN_HUMAN;CON__A3EZ79	CON__A3EZ82;sp|Q6E0U4|DMKN_HUMAN;CON__A3EZ79	2;2;1	2;2;1	2;2;1	0		0		0		0		0		0		0		;sp|Q6E0U4|DMKN_HUMAN Dermokine OS=Homo sapiens OX=9606 GN=DMKN PE=1 SV=3;	3	2	2	2	1	0	1	1	2	1	1	0	1	1	2	1	1	0	1	1	2	1	5.3	5.3	5.3	47.082	476	476;476;449	0	11.719	By matching		By matching	By MS/MS	By MS/MS	By MS/MS	1.7	0	1.7	1.7	5.3	1.7	243420	15600	0	3773.4	139010	25525	59519	0	0	0	0	0	6349.4	0	0	0	1	2	2	5			+	0	329;1654	True;True	335;1682	633;634;635;636;637;638;639;2972	543;544;545;546;2621	545;2621		
CON__P00761	CON__P00761	3	3	3	0		0		0		0		0		0		0			1	3	3	3	3	3	3	3	2	2	3	3	3	3	2	2	3	3	3	3	2	2	20.8	20.8	20.8	24.409	231	231	0	269.95	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	20.8	20.8	20.8	20.8	17.3	17.3	786570000	47499000	15496000	27169000	71676000	531360000	93369000	31338000	10759000	9413000	6488700	42335000	5619900	4	0	3	4	11	3	25			+	1	698;899;1607	True;True;True	710;711;918;1635	1272;1273;1274;1275;1276;1277;1278;1279;1280;1281;1282;1283;1662;1663;1664;1665;1666;1667;1668;1669;1670;1671;1672;1673;2899;2900;2901;2902;2903	1101;1102;1103;1104;1105;1106;1107;1108;1109;1110;1111;1112;1113;1114;1115;1116;1117;1465;1466;1467;1468;1469;1470;1471;1472;1473;1474;2555;2556;2557;2558	1103;1468;2558	0	94
sp|P48668|K2C6C_HUMAN;sp|P02538|K2C6A_HUMAN;CON__P48668;CON__P04259;CON__P02538	sp|P48668|K2C6C_HUMAN;sp|P02538|K2C6A_HUMAN;CON__P48668;CON__P04259;CON__P02538	5;5;5;5;5	1;1;1;1;1	0;0;0;0;0	0		0		0		0		0		0		0		sp|P48668|K2C6C_HUMAN Keratin, type II cytoskeletal 6C OS=Homo sapiens OX=9606 GN=KRT6C PE=1 SV=3;sp|P02538|K2C6A_HUMAN Keratin, type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3;;;	5	5	1	0	0	1	1	4	3	3	0	0	0	0	0	1	0	0	0	0	0	0	6.4	1.6	0	60.024	564	564;564;564;564;564	0	6.0362		By matching	By matching	By matching	By matching	By MS/MS	0	1.6	1.4	4.8	4.6	4.6	161960	0	0	0	0	0	161960	0	0	0	0	0	17278	0	0	0	0	0	1	1			+	2	143;433;1151;1152;1256	False;False;False;False;True	146;440;1173;1174;1278	291;292;293;294;809;810;2112;2113;2114;2115;2116;2292	251;252;692;693;1851;1852;1853;2007	251;693;1851;1853;2007		
CON__P02769;sp|P02768|ALBU_HUMAN;CON__P02768-1	CON__P02769	11;2;2	11;2;2	11;2;2	0		0		0		0		0		0		0			3	11	11	11	4	1	3	10	7	7	4	1	3	10	7	7	4	1	3	10	7	7	20.9	20.9	20.9	69.293	607	607;609;609	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	8.9	2.1	6.3	19.3	11.5	13.7	20525000	360810	0	490540	14260000	3251700	2161800	755030	0	206620	952800	220630	319440	2	1	1	8	8	6	26			+	3	186;330;816;819;901;1063;1109;1292;1342;1391;1410	True;True;True;True;True;True;True;True;True;True;True	189;336;830;833;920;1083;1131;1315;1366;1416;1435	372;373;374;375;376;640;1484;1485;1486;1489;1490;1491;1492;1493;1676;1677;1678;1679;1976;1977;2042;2043;2044;2045;2046;2353;2354;2427;2512;2547;2548;2549;2550	321;322;323;324;325;547;1310;1311;1312;1315;1316;1317;1318;1477;1478;1479;1480;1731;1790;1791;1792;2062;2063;2133;2208;2240;2241;2242	324;547;1311;1316;1479;1731;1791;2063;2133;2208;2240	1	469
CON__P05787;sp|P05787|K2C8_HUMAN;CON__H-INV:HIT000292931;CON__Q9H552;CON__H-INV:HIT000016045;CON__REFSEQ:XP_092267;CON__Q6IFZ6;CON__Q5XQN5;CON__Q8VED5;sp|Q5XKE5|K2C79_HUMAN;CON__Q8BGZ7;CON__P50446;CON__Q9DCV7;sp|Q9NSB2|KRT84_HUMAN;CON__Q9NSB2;CON__Q6ISB0;CON__Q5XKE5	CON__P05787;sp|P05787|K2C8_HUMAN	20;20;7;6;4;2;2;2;2;1;1;1;1;1;1;1;1	20;20;7;6;4;2;2;2;2;1;1;1;1;1;1;1;1	16;16;5;4;2;2;0;0;0;0;0;0;0;0;0;0;0	0		0		0		0		0		0		0		;sp|P05787|K2C8_HUMAN Keratin, type II cytoskeletal 8 OS=Homo sapiens OX=9606 GN=KRT8 PE=1 SV=7	17	20	20	16	8	5	6	12	14	12	8	5	6	12	14	12	7	3	5	8	11	11	35.2	35.2	31.7	53.704	483	483;483;443;499;99;213;572;601;531;535;551;553;457;600;600;600;535	0	323.31	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	16.8	12.6	12.8	20.3	28.6	27.3	67153000	2387900	525060	6687500	10997000	26739000	19817000	1703100	758610	4959900	1335700	798210	1601400	5	1	4	12	14	9	45			+	4	140;141;433;758;868;869;887;942;985;986;1004;1151;1152;1261;1270;1355;1426;1444;1500;1502	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	143;144;440;772;883;884;885;904;905;906;961;1005;1006;1024;1173;1174;1283;1292;1379;1380;1452;1470;1527;1529	280;281;282;283;284;285;286;287;288;809;810;1395;1396;1397;1398;1399;1596;1597;1598;1599;1600;1601;1634;1635;1636;1637;1638;1639;1640;1641;1642;1746;1747;1748;1749;1750;1751;1752;1753;1754;1755;1822;1823;1824;1858;1859;2112;2113;2114;2115;2116;2302;2303;2304;2320;2449;2450;2580;2608;2609;2610;2611;2714;2715;2716;2717;2718;2720	241;242;243;244;245;246;247;248;692;693;1222;1223;1224;1225;1226;1405;1406;1407;1408;1438;1439;1440;1441;1442;1443;1444;1445;1446;1447;1539;1540;1541;1606;1607;1635;1636;1851;1852;1853;2017;2018;2031;2153;2154;2267;2292;2293;2294;2383;2384;2385;2386;2388	243;248;693;1224;1406;1408;1440;1540;1606;1607;1636;1851;1853;2017;2031;2153;2267;2293;2385;2388	2;3;4;5	168;189;406;409
sp|P13645|K1C10_HUMAN;CON__P13645;CON__P02535-1;sp|Q2M2I5|K1C24_HUMAN;CON__Q2M2I5	sp|P13645|K1C10_HUMAN;CON__P13645	6;6;2;1;1	6;6;2;1;1	5;5;1;0;0	0		0		0		0		0		0		0		sp|P13645|K1C10_HUMAN Keratin, type I cytoskeletal 10 OS=Homo sapiens OX=9606 GN=KRT10 PE=1 SV=6;	5	6	6	5	0	1	0	4	5	4	0	1	0	4	5	4	0	1	0	4	4	3	11.1	11.1	9.2	58.826	584	584;593;570;525;525	0	55.336		By matching		By MS/MS	By MS/MS	By MS/MS	0	1.4	0	7.7	9.8	7.5	6023100	0	49407	0	2594900	1454700	1924100	0	0	0	362540	39931	123110	0	0	0	3	4	5	12			+	5	1287;1290;1455;1473;1690;1797	True;True;True;True;True;True	1310;1313;1481;1499;1719;1829	2345;2346;2350;2351;2634;2635;2636;2664;2665;3034;3035;3240;3241;3242;3243;3244	2053;2054;2058;2059;2060;2313;2314;2315;2339;2681;2682;2866;2867	2054;2060;2315;2339;2681;2867		
CON__P13647;sp|P13647|K2C5_HUMAN;CON__Q922U2	CON__P13647;sp|P13647|K2C5_HUMAN;CON__Q922U2	4;4;3	1;1;1	1;1;1	0		0		0		0		0		0		0		;sp|P13647|K2C5_HUMAN Keratin, type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3;	3	4	1	1	1	1	1	3	2	3	1	0	1	1	1	1	1	0	1	1	1	1	4.7	1.5	1.5	62.378	590	590;590;580	0	6.3307	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	1.5	1.5	1.5	3.2	3.1	4.6	1374000	136670	0	80018	493970	317010	346370	0	0	0	0	0	36950	0	0	0	1	1	1	3			+	6	1151;1152;1256;1446	False;False;False;True	1173;1174;1278;1472	2112;2113;2114;2115;2116;2292;2616;2617;2618;2619;2620	1851;1852;1853;2007;2298;2299;2300	1851;1853;2007;2298		
CON__P21752;sp|P63313|TYB10_HUMAN	CON__P21752;sp|P63313|TYB10_HUMAN	2;2	1;1	1;1	0		0		0		0		0		0		0		;sp|P63313|TYB10_HUMAN Thymosin beta-10 OS=Homo sapiens OX=9606 GN=TMSB10 PE=1 SV=2	2	2	1	1	1	0	0	2	0	1	0	0	0	1	0	0	0	0	0	1	0	0	31	31	31	4.8054	42	42;44	0	15.518	By matching			By MS/MS		By matching	16.7	0	0	31	0	16.7	166840	0	0	0	166840	0	0	0	0	0	16394	0	0	0	0	0	2	0	0	2			+	7	420;1186	False;True	427;1208	785;786;787;2177	673;1906;1907	673;1907		
CON__P34955	CON__P34955	1	1	1	0		0		0		0		0		0		0			1	1	1	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2.6	2.6	2.6	46.103	416	416	0.0017241	5.9309				By MS/MS			0	0	0	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1			+	8	233	True	237	460	399	399		
sp|P35527|K1C9_HUMAN;CON__P35527	sp|P35527|K1C9_HUMAN;CON__P35527	1;1	1;1	1;1	0		0		0		0		0		0		0		sp|P35527|K1C9_HUMAN Keratin, type I cytoskeletal 9 OS=Homo sapiens OX=9606 GN=KRT9 PE=1 SV=3;	2	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	2.6	2.6	2.6	62.064	623	623;623	0	6.6572						By MS/MS	0	0	0	0	0	2.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1			+	9	1387	True	1412	2508	2204	2204		
