"","logFC","se","df","t","pval","adjPval"
"sp|A0AVK6|E2F8_HUMAN",NA,NA,NA,NA,NA,NA
"sp|A0FGR8|ESYT2_HUMAN",-0.796988266440695,0.311602298348914,16.7446179222131,-2.55770984573507,0.0205510265234451,0.0429551932565073
"sp|A0JNW5|UH1BL_HUMAN",-0.0671091541660285,0.108276947995559,13.4776176019118,-0.619791704590538,0.545731389370211,0.627506793235675
"sp|A0MZ66|SHOT1_HUMAN",-0.303182444260933,0.113215998333603,17.1678433722064,-2.67791167965125,0.0157956293278759,0.0346139747685445
"sp|A1L390|PKHG3_HUMAN",-1.01939549446729,0.113056358529409,17.0595151042025,-9.01670200355973,6.7048801523754e-08,6.29075520178751e-07
"sp|A2A2Y4|FRMD3_HUMAN",-0.522291814604684,0.164367826527855,15.6689124403023,-3.177579369623,0.00597123884826765,0.0148980741320465
"sp|A2RU67|F234B_HUMAN",0.290021036922158,0.171989525131955,14.9259926797565,1.68627151391718,0.112526942848505,0.174737596231372
"sp|A3KN83|SBNO1_HUMAN",0.181142088443175,0.157049053921622,14.9472061406448,1.15341088608899,0.266852807141101,0.351968291994139
"sp|A6H8Y1|BDP1_HUMAN",-0.246821594323086,0.108443840973534,17.2931121906202,-2.27603146575492,0.0358332556627477,0.0678673960092584
"sp|A6ND36|FA83G_HUMAN",-0.472023267262206,0.146451960805723,15.6991563028051,-3.22305870583987,0.00542028092125066,0.0137852930491489
"sp|A6NFI3|ZN316_HUMAN",1.07231871484719,0.445701531679593,16.3315863225254,2.40591211523604,0.028307930000396,0.0556930464236865
"sp|A6NHT5|HMX3_HUMAN",-0.0682113316661673,0.597303101305749,13.0297424573924,-0.114198857359107,0.910821116130852,0.935109679227675
"sp|A7KAX9|RHG32_HUMAN",-0.722261620030778,0.544677189855235,7.87388830119968,-1.32603610630866,0.222001879497636,0.303570236937061
"sp|B2RTY4|MYO9A_HUMAN",NA,NA,NA,NA,NA,NA
"sp|O00148|DX39A_HUMAN",0.431597134463132,0.214262632244634,17.0759549575861,2.01433693753168,0.060003194455752,0.104923361957474
"sp|O00159|MYO1C_HUMAN",-0.621696058167359,0.1312823278916,17.4143781765698,-4.73556546529776,0.000179700958708806,0.000751446143814163
"sp|O00178|GTPB1_HUMAN",-0.454274809405652,0.196063664714763,11.6417454288078,-2.3169760193279,0.0395924825804332,0.0742317494560095
"sp|O00193|SMAP_HUMAN",-0.274137231310568,0.2825358264586,16.1748146970246,-0.970274229455065,0.346196362852584,0.432116533398446
"sp|O00203|AP3B1_HUMAN",-0.197651041452528,0.0676256932086977,17.2134724427614,-2.9227211149254,0.00940259550801947,0.0221010481783237
"sp|O00231|PSD11_HUMAN",0.443115278553654,0.373144257069848,10.3142281442575,1.18751734793739,0.26165167365059,0.346335617819661
"sp|O00232|PSD12_HUMAN",0.986443114206092,1.22640738166376,13.5092875588469,0.804335597579227,0.435129999927408,0.523233866363975
"sp|O00257|CBX4_HUMAN",-0.687240116273683,0.12582270067452,14.0518812207447,-5.461972383278,8.26505169961158e-05,0.000386915313317247
"sp|O00264|PGRC1_HUMAN",-0.0980528041639022,0.0899065238976272,17.4110002202011,-1.09060833311219,0.290309113916299,0.374185299205236
"sp|O00267|SPT5H_HUMAN",-0.245549160342521,0.168578006539104,12.9497859521963,-1.4565907225007,0.16904570268877,0.245435015672317
"sp|O00299|CLIC1_HUMAN",-0.0545436935636965,0.143007475383134,17.1978461276544,-0.381404492440466,0.707574233717668,0.766996730044444
"sp|O00400|ACATN_HUMAN",-0.886309675279453,0.243394475167632,13.3942941082918,-3.64145354847939,0.00285307971000298,0.00800367712617671
"sp|O00401|WASL_HUMAN",-0.404573402929213,0.191414172443577,16.8600352813839,-2.11360213177772,0.0497632302131484,0.0897587181469794
"sp|O00410|IPO5_HUMAN",-0.221909137674782,0.349656542821555,14.9808464637193,-0.634648892550631,0.535230276586441,0.618343656824215
"sp|O00418|EF2K_HUMAN",0.266882893090892,0.215583839551315,14.4803041312561,1.23795407692127,0.235429879348516,0.31765251999108
"sp|O00422|SAP18_HUMAN",0.787106943703483,0.188961193651702,7.74165276283574,4.16544227146605,0.00337645220913352,0.00928524357511718
"sp|O00429|DNM1L_HUMAN",-0.929581634053558,0.264830851672089,15.7989299886523,-3.51009570140475,0.00294905791604908,0.00822128130653882
"sp|O00443|P3C2A_HUMAN",-0.195921146981795,0.0963097769648174,15.5057413084668,-2.03428097495611,0.0593984168011114,0.104028756640692
"sp|O00472|ELL2_HUMAN",0.177488281383973,0.24284929331953,15.2153123079436,0.730857722325926,0.475970951568693,0.564741304385171
"sp|O00499|BIN1_HUMAN",0.182971314616013,0.128702950376261,17.1768747313618,1.42165594557933,0.173029234736383,0.250080440884364
"sp|O00505|IMA4_HUMAN",0.157296851990444,0.133545310465465,14.6798000333794,1.17785380439189,0.257597646605465,0.342076105948527
"sp|O00512|BCL9_HUMAN",-0.232652934910524,0.0758086677648907,15.5569962985826,-3.06894899712606,0.00753442276337647,0.0183072535697711
"sp|O00566|MPP10_HUMAN",0.885790477796216,0.160014045213685,14.213254452961,5.53570454776842,6.94671602901539e-05,0.000333591761135298
