LFQ intensity 1_1	LFQ intensity 1_2	LFQ intensity 1_3	LFQ intensity 1_4	LFQ intensity 1_5	LFQ intensity 1_6	LFQ intensity 10_1	LFQ intensity 10_2	LFQ intensity 10_3	LFQ intensity 10_4	LFQ intensity 10_5	LFQ intensity 10_6	LFQ intensity 4_1	LFQ intensity 4_2	LFQ intensity 4_3	LFQ intensity 4_4	LFQ intensity 4_5	LFQ intensity 4_6	Only identified by site	Reverse	Potential contaminant	Student's T-test Significant fold10_fold1	Student's T-test significant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	-Log Student's T-test p-value fold10_fold1	Student's T-test q-value fold10_fold1	Student's T-test Difference fold10_fold1	Student's T-test Test statistic fold10_fold1	Protein IDs	Majority protein IDs	id
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.67107201	0						1	1	1	4.5	4.5	4.5	41.597	0.0022245	2.041	7123600	7	NaN	NaN	0	NaN	sp|Q9UN42|AT1B4_HUMAN;REV__sp|Q9UN42|AT1B4_HUMAN;sp|Q9P1Z9|CC180_HUMAN	sp|Q9UN42|AT1B4_HUMAN;REV__sp|Q9UN42|AT1B4_HUMAN;sp|Q9P1Z9|CC180_HUMAN	162
0	0	21.04052734	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						1	1	1	4.8	4.8	4.8	29.9	0.0050653	1.6158	1563400	1	NaN	NaN	0	NaN	sp|A0A2Z4LIS9|FXO3B_HUMAN;sp|P0CG31|Z286B_HUMAN	sp|A0A2Z4LIS9|FXO3B_HUMAN;sp|P0CG31|Z286B_HUMAN	166
0	22.56748581	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0						2	2	2	2.8	2.8	2.8	94.165	0	6.1505	9017000	6	NaN	NaN	0	NaN	sp|A0AVK6|E2F8_HUMAN	sp|A0AVK6|E2F8_HUMAN	167
0	24.65583611	24.66046906	24.70998764	24.9474411	24.55379677	24.66898537	0	24.52270889	0	0	0	24.24916267	24.47475433	24.25190926	24.24001694	0	24.27866745						2	2	2	6.8	6.8	6.8	102.36	0	86.03	420910000	69	1.041680239	0.135648843	-12.38930607	-1.871064234	sp|A0FGR8|ESYT2_HUMAN	sp|A0FGR8|ESYT2_HUMAN	168
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.75103188						1	1	1	9	9	9	26.273	0	3.8783	24018000	8	NaN	NaN	0	NaN	sp|A0JLT2|MED19_HUMAN	sp|A0JLT2|MED19_HUMAN	169
0	24.16100311	23.71376801	0	24.20732117	23.84575081	0	0	0	0	0	0	0	0	23.71764183	24.16376877	0	24.21808052						5	5	5	4.9	4.9	4.9	164.2	0	20.772	142360000	33	NaN	NaN	0	NaN	sp|A0JNW5|UH1BL_HUMAN	sp|A0JNW5|UH1BL_HUMAN	170
25.59832573	25.62458229	25.93240166	25.79491234	25.59843826	25.78546524	25.43714142	25.34654999	25.25925636	25.10393524	25.42178535	25.17314148	25.52901077	25.48142242	25.4689579	25.38119507	25.56217766	25.44047165				+	fold10_fold1	5	5	5	12.8	12.8	12.8	71.639	0	138.43	777880000	83	3.58227622	0.000620423	-0.432052612	-5.500371961	sp|A0MZ66|SHOT1_HUMAN	sp|A0MZ66|SHOT1_HUMAN	171
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.07360649						1	1	1	3.7	3.7	3.7	89.374	0	15.028	133650000	30	NaN	NaN	0	NaN	sp|A1A4S6|RHG10_HUMAN	sp|A1A4S6|RHG10_HUMAN	172
24.5759449	0	24.99881935	0	25.41286659	0	0	0	0	0	0	0	24.55297661	0	24.68602943	0	0	24.91305542						1	1	1	9.2	9.2	9.2	20.324	0	33.381	478460000	33	NaN	NaN	0	NaN	sp|A1KXE4|F168B_HUMAN	sp|A1KXE4|F168B_HUMAN	173
0	24.7038765	24.56092453	24.54209137	24.51376343	24.5654068	0	0	0	0	0	0	0	0	24.05440712	0	0	0						3	3	3	3.7	3.7	3.7	134.41	0	38.442	288580000	28	NaN	NaN	0	NaN	sp|A1L390|PKHG3_HUMAN	sp|A1L390|PKHG3_HUMAN	174
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20.32674026	0						1	1	1	9.5	9.5	9.5	12.763	0	21.574	13209000	14	NaN	NaN	0	NaN	sp|Q9UEU5|GGE2D_HUMAN;sp|Q6NT46|GAG2A_HUMAN;sp|Q13066|GAG2B_HUMAN;sp|Q4V321|GAG13_HUMAN;sp|Q13070|GAGE6_HUMAN;sp|Q13069|GAGE5_HUMAN;sp|P0DSO3|GAGE4_HUMAN;sp|P0CL82|GG12I_HUMAN;sp|P0CL81|GG12G_HUMAN;sp|P0CL80|GG12F_HUMAN;sp|O76087|GAGE7_HUMAN;sp|A6NDE8|GG12H_HUMAN;sp|A1L429|GG12C_HUMAN	sp|Q9UEU5|GGE2D_HUMAN;sp|Q6NT46|GAG2A_HUMAN;sp|Q13066|GAG2B_HUMAN;sp|Q4V321|GAG13_HUMAN;sp|Q13070|GAGE6_HUMAN;sp|Q13069|GAGE5_HUMAN;sp|P0DSO3|GAGE4_HUMAN;sp|P0CL82|GG12I_HUMAN;sp|P0CL81|GG12G_HUMAN;sp|P0CL80|GG12F_HUMAN;sp|O76087|GAGE7_HUMAN;sp|A6NDE8|GG12H_HUMAN;sp|A1L429|GG12C_HUMAN	175
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.95937729						1	1	1	3.5	3.5	3.5	33.43	0	3.7782	71605000	11	NaN	NaN	0	NaN	sp|A1XBS5|CBAR1_HUMAN	sp|A1XBS5|CBAR1_HUMAN	176
0	0	24.80921555	24.89458084	24.92084312	24.92583084	0	0	0	24.34190941	0	0	24.26334572	24.53866196	24.55449867	24.71077538	24.52432442	24.620924						3	3	3	6.7	6.7	6.7	68.771	0	19.291	270850000	37	NaN	NaN	0	NaN	sp|A2A2Y4|FRMD3_HUMAN	sp|A2A2Y4|FRMD3_HUMAN	177
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22.21219826						1	1	1	1.5	1.5	1.5	84.456	0.0039557	1.7824	36722000	11	NaN	NaN	0	NaN	sp|A2A3K4|PTPC1_HUMAN	sp|A2A3K4|PTPC1_HUMAN	178
24.58772087	25.24223518	25.10944557	24.8463726	24.41751099	24.80577469	23.17843246	23.27994347	0	0	0	0	23.38442802	23.56383705	23.05596352	0	0	0				+	fold10_fold1	2	2	2	1.8	1.8	1.8	62.633	0	9.4756	293170000	45	2.234114307	0.011400169	-17.09178066	-3.488983295	sp|Q99755|PI51A_HUMAN;sp|A2A3N6|PIPSL_HUMAN	sp|Q99755|PI51A_HUMAN;sp|A2A3N6|PIPSL_HUMAN	179
0	26.19833565	26.25576782	0	26.46199799	0	0	25.99787331	0	26.36974525	0	26.37856865	26.74765587	26.64375114	26.56067657	26.63685608	26.55647278	26.4340744						2	2	2	6.8	6.8	6.8	67.038	0	191.82	1043400000	37	0.001153316	0.997579422	-0.028319041	-0.003407907	sp|A2RU67|F234B_HUMAN	sp|A2RU67|F234B_HUMAN	181
0	0	0	0	0	0	0	24.82006836	0	0	0	0	0	0	0	0	0	0						2	2	2	2.4	2.4	2.4	154.31	0	15.02	406540000	25	NaN	NaN	0	NaN	sp|A3KN83|SBNO1_HUMAN	sp|A3KN83|SBNO1_HUMAN	182
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.62453079	0						1	1	1	2.7	2.7	2.7	83.343	0	6.2285	19300000	8	NaN	NaN	0	NaN	sp|A4D1P6|WDR91_HUMAN	sp|A4D1P6|WDR91_HUMAN	183
