,Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
2,sp|A0JNW5|UH1BL_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.242401814,0.190920608,-1.269647195,15,0.223555066,0.311408286,NA,0.3125,0.3125
5,sp|A0MZ66|SHOT1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.280771548,0.045234388,-6.207037657,15,1.68E-05,0.000100211,NA,0.135416667,0.135416667
8,sp|A1L390|PKHG3_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.595535985,0.208084578,-2.861990014,14,0.012549532,0.029306848,NA,0.416666667,0.333333333
11,sp|A6NHT5|HMX3_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.377303499,0.299000047,1.261884416,9,0.23871088,0.327634294,NA,0.611111111,0.194444444
14,sp|A7KAX9|RHG32_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.181916749,0.117510356,-1.548091204,15,0.142436952,0.217072821,NA,0.333333333,0.333333333
17,sp|O00193|SMAP_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.441194722,0.329877394,1.337450612,15,0.201003253,0.286015382,NA,0.354166667,0.354166667
20,sp|O00203|AP3B1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.070614786,0.042165759,-1.674695028,15,0.114710606,0.182892011,NA,0.020833333,0.020833333
23,sp|O00232|PSD12_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.469449939,0.557294817,-0.8423727,9,0.421399802,0.517142879,NA,0.555555556,0.388888889
26,sp|O00264|PGRC1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.017773699,0.117962522,0.150672425,15,0.882241636,0.915087993,NA,0.15,0.15
29,sp|O00299|CLIC1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.100451692,0.141746826,0.708669781,15,0.489397515,0.583894256,NA,0.35,0.35
32,sp|O00410|IPO5_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.236326686,0.280076943,-0.843792006,15,0.412040549,0.508012727,NA,0.383333333,0.383333333
35,sp|O00429|DNM1L_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.4525262,0.100969255,-4.48182173,15,0.000438922,0.001760123,NA,0.263888889,0.263888889
38,sp|O00443|P3C2A_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.153211167,0.093137367,-1.645002138,15,0.120757481,0.19138012,NA,0.388888889,0.388888889
41,sp|O00499|BIN1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.065007814,0.051436816,-1.263838226,15,0.225576696,0.313674075,NA,0.239583333,0.239583333
44,sp|O00505|IMA4_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,1.123273668,0.308773514,3.637856286,15,0.002429574,0.007307127,NA,0.273809524,0.273809524
47,sp|O00512|BCL9_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.250511714,0.154387593,-1.622615585,15,0.125496382,0.196925154,NA,0.125,0.125
50,sp|O00566|MPP10_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,1.324441945,0.267193699,4.956860694,13,0.000262228,0.001128505,NA,0.416666667,0.25
53,sp|O00567|NOP56_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,1.361483727,0.470895255,2.891266608,15,0.011191094,0.026524562,NA,0.347222222,0.347222222
56,sp|O00571|DDX3X_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.491908082,0.191632397,-2.566935913,15,0.021464522,0.045326677,NA,0.270833333,0.270833333
59,sp|O00592|PODXL_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-2.060184033,0.687754199,-2.995523746,15,0.009054887,0.02232789,NA,0.569444444,0.569444444
62,sp|O14497|ARI1A_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.05686414,0.131043199,-0.433934311,15,0.670512633,0.736358272,NA,0.229166667,0.229166667
65,sp|O14578|CTRO_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.189709632,0.085101774,-2.229208898,15,0.041511118,0.078945694,NA,0.2,0.2
68,sp|O14617|AP3D1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.746173409,0.33578656,-2.222165801,14,0.043262441,0.081689365,NA,0.666666667,0.583333333
71,sp|O14646|CHD1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.116615852,0.156146734,0.74683504,15,0.466708925,0.561464979,NA,0.44047619,0.44047619
74,sp|O14647|CHD2_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.354269652,0.111594675,3.174610735,15,0.006281974,0.016388407,NA,0.316666667,0.316666667
77,sp|O14686|KMT2D_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.205540521,0.041139062,-4.996237382,15,0.000159529,0.000715625,NA,0.181372549,0.181372549
80,sp|O14737|PDCD5_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,0.691933481,0.77713686,0.890362452,14,0.388316098,0.484403743,NA,0.375,0.375
83,sp|O14757|CHK1_HUMAN,SP=Yeast;CT=Mixture;QY=4-SP=Yeast;CT=Mixture;QY=1,-0.142039777,0.129853747,-1.093844272,13,0.293877691,0.387983306,NA,0.361111111,0.361111111
